iteration,ssrg_state
1,[[1]]
2,[[1]]
3,[[1]]
4,[[1]]
5,[[1]]
6,[[1]]
7,[[1]]
8,[[1]]
9,[[1]]
10,[[1]]
11,[[1]]
12,[[1]]
13,[[0]]
14,[[0]]
15,[[0]]
16,[[1]]
17,[[1]]
18,[[0]]
19,[[0]]
20,[[0]]
21,[[0]]
22,[[1]]
23,[[1]]
24,[[1]]
25,[[0]]
26,[[0]]
27,[[0]]
28,[[1]]
29,[[1]]
30,[[0]]
31,[[1]]
32,[[0]]
33,[[1]]
34,[[1]]
35,[[1]]
36,[[1]]
37,[[1]]
38,[[1]]
39,[[1]]
40,[[0]]
41,[[1]]
42,[[1]]
43,[[1]]
44,[[0]]
45,[[0]]
46,[[1]]
47,[[1]]
48,[[1]]
49,[[1]]
50,[[1]]
51,[[0]]
52,[[0]]
53,[[1]]
54,[[0]]
55,[[1]]
56,[[0]]
57,[[0]]
58,[[0]]
59,[[0]]
60,[[0]]
61,[[1]]
62,[[1]]
63,[[0]]
64,[[0]]
65,[[0]]
66,[[1]]
67,[[0]]
68,[[0]]
69,[[1]]
70,[[0]]
71,[[0]]
72,[[0]]
73,[[1]]
74,[[0]]
75,[[0]]
76,[[0]]
77,[[1]]
78,[[1]]
79,[[1]]
80,[[0]]
81,[[1]]
82,[[1]]
83,[[1]]
84,[[0]]
85,[[0]]
86,[[1]]
87,[[1]]
88,[[0]]
89,[[0]]
90,[[1]]
91,[[1]]
92,[[1]]
93,[[0]]
94,[[1]]
95,[[1]]
96,[[0]]
97,[[1]]
98,[[1]]
99,[[0]]
100,[[1]]
101,[[0]]
102,[[1]]
103,[[1]]
104,[[1]]
105,[[1]]
106,[[1]]
107,[[0]]
108,[[0]]
109,[[0]]
110,[[0]]
111,[[0]]
112,[[0]]
113,[[1]]
114,[[0]]
115,[[1]]
116,[[0]]
117,[[0]]
118,[[1]]
119,[[0]]
120,[[1]]
121,[[0]]
122,[[0]]
123,[[1]]
124,[[0]]
125,[[0]]
126,[[0]]
127,[[0]]
128,[[1]]
129,[[0]]
130,[[1]]
131,[[1]]
132,[[0]]
133,[[0]]
134,[[1]]
135,[[1]]
136,[[1]]
137,[[0]]
138,[[0]]
139,[[1]]
140,[[1]]
141,[[1]]
142,[[1]]
143,[[0]]
144,[[0]]
145,[[1]]
146,[[0]]
147,[[0]]
148,[[1]]
149,[[0]]
150,[[1]]
151,[[0]]
152,[[1]]
153,[[0]]
154,[[0]]
155,[[0]]
156,[[0]]
157,[[1]]
158,[[1]]
159,[[1]]
160,[[0]]
161,[[1]]
162,[[1]]
163,[[0]]
164,[[1]]
165,[[1]]
166,[[1]]
167,[[0]]
168,[[0]]
169,[[0]]
170,[[0]]
171,[[0]]
172,[[0]]
173,[[1]]
174,[[0]]
175,[[1]]
176,[[1]]
177,[[0]]
178,[[1]]
179,[[1]]
180,[[1]]
181,[[1]]
182,[[0]]
183,[[1]]
184,[[0]]
185,[[1]]
186,[[0]]
187,[[0]]
188,[[0]]
189,[[0]]
190,[[1]]
191,[[0]]
192,[[0]]
193,[[1]]
194,[[0]]
195,[[0]]
196,[[0]]
197,[[0]]
198,[[0]]
199,[[1]]
200,[[1]]
201,[[1]]
202,[[1]]
203,[[1]]
204,[[1]]
205,[[1]]
206,[[0]]
207,[[1]]
208,[[1]]
209,[[1]]
210,[[1]]
211,[[0]]
212,[[1]]
213,[[0]]
214,[[1]]
215,[[0]]
216,[[1]]
217,[[0]]
218,[[0]]
219,[[0]]
220,[[0]]
221,[[1]]
222,[[1]]
223,[[0]]
224,[[0]]
225,[[1]]
226,[[0]]
227,[[0]]
228,[[0]]
229,[[1]]
230,[[1]]
231,[[0]]
232,[[1]]
233,[[0]]
234,[[0]]
235,[[1]]
236,[[0]]
237,[[1]]
238,[[1]]
239,[[1]]
240,[[0]]
241,[[1]]
242,[[0]]
243,[[0]]
244,[[1]]
245,[[1]]
246,[[0]]
247,[[1]]
248,[[0]]
249,[[1]]
250,[[1]]
251,[[1]]
252,[[0]]
253,[[0]]
254,[[0]]
255,[[0]]
256,[[1]]
257,[[1]]
258,[[0]]
259,[[0]]
260,[[0]]
261,[[1]]
262,[[0]]
263,[[0]]
264,[[0]]
265,[[0]]
266,[[0]]
267,[[1]]
268,[[1]]
269,[[1]]
270,[[0]]
271,[[0]]
272,[[1]]
273,[[0]]
274,[[1]]
275,[[0]]
276,[[0]]
277,[[1]]
278,[[1]]
279,[[1]]
280,[[0]]
281,[[0]]
282,[[0]]
283,[[1]]
284,[[1]]
285,[[1]]
286,[[1]]
287,[[1]]
288,[[0]]
289,[[1]]
290,[[1]]
291,[[1]]
292,[[0]]
293,[[1]]
294,[[0]]
295,[[0]]
296,[[0]]
297,[[0]]
298,[[1]]
299,[[1]]
300,[[1]]
