iteration,ssrg_state
1,[[0 1 0 0 0 0]]
2,[[0 0 1 0 0 0]]
3,[[1 0 0 1 0 0]]
4,[[0 1 0 0 1 0]]
5,[[1 0 1 0 0 1]]
6,[[0 1 0 1 0 0]]
7,[[0 0 1 0 1 0]]
8,[[0 0 0 1 0 1]]
9,[[1 0 0 0 1 0]]
10,[[1 1 0 0 0 1]]
11,[[1 1 1 0 0 0]]
12,[[1 1 1 1 0 0]]
13,[[1 1 1 1 1 0]]
14,[[0 1 1 1 1 1]]
15,[[1 0 1 1 1 1]]
16,[[1 1 0 1 1 1]]
17,[[0 1 1 0 1 1]]
18,[[1 0 1 1 0 1]]
19,[[0 1 0 1 1 0]]
20,[[1 0 1 0 1 1]]
21,[[1 1 0 1 0 1]]
22,[[1 1 1 0 1 0]]
23,[[0 1 1 1 0 1]]
24,[[0 0 1 1 1 0]]
25,[[0 0 0 1 1 1]]
26,[[0 0 0 0 1 1]]
27,[[0 0 0 0 0 1]]
28,[[1 0 0 0 0 0]]
29,[[0 1 0 0 0 0]]
30,[[0 0 1 0 0 0]]
31,[[1 0 0 1 0 0]]
32,[[0 1 0 0 1 0]]
33,[[1 0 1 0 0 1]]
34,[[0 1 0 1 0 0]]
35,[[0 0 1 0 1 0]]
36,[[0 0 0 1 0 1]]
37,[[1 0 0 0 1 0]]
38,[[1 1 0 0 0 1]]
39,[[1 1 1 0 0 0]]
40,[[1 1 1 1 0 0]]
41,[[1 1 1 1 1 0]]
42,[[0 1 1 1 1 1]]
43,[[1 0 1 1 1 1]]
44,[[1 1 0 1 1 1]]
45,[[0 1 1 0 1 1]]
46,[[1 0 1 1 0 1]]
47,[[0 1 0 1 1 0]]
48,[[1 0 1 0 1 1]]
49,[[1 1 0 1 0 1]]
50,[[1 1 1 0 1 0]]
51,[[0 1 1 1 0 1]]
52,[[0 0 1 1 1 0]]
53,[[0 0 0 1 1 1]]
54,[[0 0 0 0 1 1]]
55,[[0 0 0 0 0 1]]
56,[[1 0 0 0 0 0]]
57,[[0 1 0 0 0 0]]
58,[[0 0 1 0 0 0]]
59,[[1 0 0 1 0 0]]
60,[[0 1 0 0 1 0]]
61,[[1 0 1 0 0 1]]
62,[[0 1 0 1 0 0]]
63,[[0 0 1 0 1 0]]
64,[[0 0 0 1 0 1]]
65,[[1 0 0 0 1 0]]
66,[[1 1 0 0 0 1]]
67,[[1 1 1 0 0 0]]
68,[[1 1 1 1 0 0]]
69,[[1 1 1 1 1 0]]
70,[[0 1 1 1 1 1]]
71,[[1 0 1 1 1 1]]
72,[[1 1 0 1 1 1]]
73,[[0 1 1 0 1 1]]
74,[[1 0 1 1 0 1]]
75,[[0 1 0 1 1 0]]
76,[[1 0 1 0 1 1]]
77,[[1 1 0 1 0 1]]
78,[[1 1 1 0 1 0]]
79,[[0 1 1 1 0 1]]
80,[[0 0 1 1 1 0]]
81,[[0 0 0 1 1 1]]
82,[[0 0 0 0 1 1]]
83,[[0 0 0 0 0 1]]
84,[[1 0 0 0 0 0]]
85,[[0 1 0 0 0 0]]
86,[[0 0 1 0 0 0]]
87,[[1 0 0 1 0 0]]
88,[[0 1 0 0 1 0]]
89,[[1 0 1 0 0 1]]
90,[[0 1 0 1 0 0]]
91,[[0 0 1 0 1 0]]
92,[[0 0 0 1 0 1]]
93,[[1 0 0 0 1 0]]
94,[[1 1 0 0 0 1]]
95,[[1 1 1 0 0 0]]
96,[[1 1 1 1 0 0]]
97,[[1 1 1 1 1 0]]
98,[[0 1 1 1 1 1]]
99,[[1 0 1 1 1 1]]
100,[[1 1 0 1 1 1]]
101,[[0 1 1 0 1 1]]
102,[[1 0 1 1 0 1]]
103,[[0 1 0 1 1 0]]
104,[[1 0 1 0 1 1]]
105,[[1 1 0 1 0 1]]
106,[[1 1 1 0 1 0]]
107,[[0 1 1 1 0 1]]
108,[[0 0 1 1 1 0]]
109,[[0 0 0 1 1 1]]
110,[[0 0 0 0 1 1]]
111,[[0 0 0 0 0 1]]
112,[[1 0 0 0 0 0]]
113,[[0 1 0 0 0 0]]
114,[[0 0 1 0 0 0]]
115,[[1 0 0 1 0 0]]
116,[[0 1 0 0 1 0]]
117,[[1 0 1 0 0 1]]
118,[[0 1 0 1 0 0]]
119,[[0 0 1 0 1 0]]
120,[[0 0 0 1 0 1]]
121,[[1 0 0 0 1 0]]
122,[[1 1 0 0 0 1]]
123,[[1 1 1 0 0 0]]
124,[[1 1 1 1 0 0]]
125,[[1 1 1 1 1 0]]
